Patient,Slice,Feature_2,Feature_27,Feature_280,Feature_435,Feature_446,Feature_800,Feature_1431,Feature_910,Feature_644,Feature_60,Feature_943,Feature_1351,Feature_1292,Feature_328,Feature_91,Feature_76,Feature_1503,Feature_1124,Feature_675,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
27.0,261.0,0.1603477,0.420179,0.11593056,0.12835497,0.22156173,0.09061968,0.024829987,0.12375295,0.33737037,0.017838016,0.0,0.27123985,0.09626405,0.5534773,0.33732158,0.230197,0.17711967,0.59531116,0.1316691,0.1402908486085846,0.7316945667941797,3.120080775542331,2.041124301661847,27.969782698697824,77.0
29.0,170.0,0.25606596,0.68985325,0.36477023,0.34812295,0.4496591,0.1858235,0.16909546,0.13869202,0.35603306,0.01011084,0.11780304,0.39948687,0.0,0.61824036,0.40359837,0.12981133,0.2005282,0.7424246,0.27507794,0.1828727791266813,0.6273519948624192,3.699721226602947,3.822317287804627,27.272978039337488,61.7
29.0,169.0,0.22580755,0.70124966,0.30102414,0.309043,0.4162795,0.20369652,0.17847824,0.12898737,0.29271522,0.008724973,0.09990841,0.356324,0.0,0.6020498,0.41203052,0.124624684,0.21685833,0.72612023,0.29604566,0.1880303956677439,0.5392977539733865,2.9119259323958424,3.904920953795092,28.3216682179136,64.0
29.0,168.0,0.20950162,0.8191529,0.257289,0.28971112,0.41387993,0.24404016,0.20301777,0.14225644,0.29086268,0.009660661,0.10665715,0.3245044,0.0,0.5932355,0.41754407,0.1343486,0.2084955,0.7258005,0.32923913,0.1792858009125087,0.5227930320027128,3.784218031875076,3.2390965243537786,29.518494592495603,63.0
29.0,167.0,0.20927167,0.8025997,0.23453802,0.28814626,0.41432905,0.22798216,0.20689748,0.14223373,0.29055643,0.008678183,0.08714056,0.31931105,0.0,0.6154621,0.40921718,0.107239604,0.18874681,0.73697436,0.33768797,0.1709401709401709,0.5948425967679309,5.018116736065454,3.046606764555482,29.02997245824136,62.7
29.0,171.0,0.25881982,0.78017575,0.38322568,0.3662253,0.47181833,0.19412738,0.18504734,0.14067495,0.38161662,0.019305125,0.1252529,0.43061033,0.0,0.6160402,0.3970663,0.10495433,0.19925678,0.77941287,0.311841,0.1637283637858486,0.6335574311783074,3.5973249467763337,4.044443850285252,26.306630607873664,58.6
30.0,259.0,0.39839697,0.93761235,0.5321164,0.22734737,0.53567934,0.32561517,0.26037243,0.13568747,0.37517694,0.011533946,0.29847503,0.29026172,0.030625641,0.6390008,0.4218678,0.1138068,0.22539228,0.7790401,0.35686147,0.2103891665598701,0.4630460589548147,2.027681660899654,2.414285104019821,12.629507536033175,64.0
30.0,258.0,0.38954365,1.0163581,0.5592991,0.23594433,0.53688234,0.31527928,0.2787973,0.13316137,0.3950114,0.013229206,0.32569045,0.3007454,0.026225746,0.61754835,0.4006123,0.11612511,0.2167542,0.7588812,0.3782363,0.2529165352912031,0.4672880609743653,2.873564253862438,3.920634205666412,12.336533806071971,63.8
30.0,257.0,0.30762208,1.0402441,0.52371943,0.15626368,0.3675534,0.32619262,0.27037337,0.097854376,0.48783168,0.0,0.3216064,0.21436909,0.11781399,0.52753586,0.425345,0.20629732,0.17877477,0.601797,0.45121837,0.2516950468402257,0.5524921161637761,2.7471662957403864,3.691837896589204,12.374444519191687,65.0
30.0,252.0,0.33689928,0.8591233,0.58664894,0.15377063,0.43026876,0.38956848,0.27870226,0.15960217,0.49005195,0.012647584,0.34304357,0.23267135,0.09983048,0.5111729,0.31943387,0.22995119,0.20177019,0.58423686,0.40383983,0.1916089965397924,0.4579712741881997,1.0605536332179932,1.4046280276816607,14.047958095229406,64.0
